Place,Lat,Lon,Altitude_in_ft,Altitide_in_mt
Abdul,19.67,76.88,1420,430.30
Abhona,20.48,73.92,2096,635.15
Achalpur,21.26,77.51,1210,366.67
Achra,16.22,73.47,180,54.55
Adad,18.39,72.95,65,19.70
Adarki,17.92,74.22,2290,693.94
Adarki,17.92,74.22,2290,693.94
Adas,18.77,76.23,2326,704.85
Adavad,21.22,75.45,603,182.73
Adgaon,18.22,72.95,16,4.85
Adgaon,20.50,77.67,1243,376.67
Adhe,17.92,73.08,344,104.24
Adi,18.40,72.92,85,25.76
Adi,18.39,72.93,59,17.88
Adiura,16.72,73.35,213,64.55
Adivra,16.72,73.35,213,64.55
Adul,19.72,75.53,1794,543.64
Adul,20.93,77.22,912,276.36
Adul,19.72,75.53,1794,543.64
Adul,19.72,75.53,1794,543.64
Adyal,20.93,79.72,790,239.39
Adyar,20.93,79.72,790,239.39
Agar,18.18,72.99,16,4.85
Agashi,19.47,72.78,36,10.91
Agashi,19.15,73.47,364,110.30
Agva,17.38,73.52,354,107.27
Ahiri,19.40,80.02,396,120.00
Ahmadnagar,19.08,74.73,2129,645.15
Ahmadpur,18.70,76.93,1686,510.91
Ahmednagar,19.08,74.73,2129,645.15
Ahmedpur,18.70,76.93,1686,510.91
Ahupe,19.18,73.60,3169,960.30
Ainpur,21.17,76.03,784,237.58
Ajanta,20.53,75.75,1925,583.33
Ajni,21.15,79.10,997,302.12
Ajra,16.12,74.20,2165,656.06
Akalkot,17.53,76.22,1456,441.21
Akera,19.62,80.30,711,215.45
Akera,19.62,80.30,711,215.45
Aklui,17.90,75.03,1581,479.09
Akluj,17.90,75.03,1581,479.09
Akola,17.98,75.25,1643,497.88
Akola,20.73,77.00,928,281.21
Akola,19.53,74.00,2004,607.27
Akola,20.17,78.17,941,285.15
Akolner,18.98,74.67,2227,674.85
Akot,21.10,77.06,1131,342.73
Aksāpur,19.77,79.65,574,173.94
Alamgaon,19.73,75.77,1558,472.12
Alandi,18.67,73.90,1893,573.64
Alandi-Devachi,18.67,73.90,1893,573.64
Alate,16.77,74.40,1929,584.55
Ale,19.17,74.12,2178,660.00
Alegaon,18.60,74.32,1722,521.82
Alegaon,19.15,77.15,1164,352.73
Alegaon,20.40,76.83,1154,349.70
Alewabi,20.38,79.70,715,216.67
Alewahi,20.38,79.70,715,216.67
Alibagh,18.64,72.88,0,0.00
Alipur,20.57,78.68,790,239.39
Alkuti,19.05,74.23,2148,650.91
Alland,20.20,75.55,2083,631.21
Allapalli,19.42,80.07,482,146.06
Alora,17.47,73.57,236,71.52
Alta,17.17,74.53,1994,604.24
Alta,16.77,74.40,1929,584.55
Alur,17.70,76.42,1896,574.55
Alāpillai,19.42,80.07,482,146.06
Alībāg,18.64,72.88,0,0.00
Amalner,21.05,75.07,597,180.91
Amalner,18.93,75.33,2296,695.76
Amaravati,20.93,77.75,1125,340.91
Amarnāth,19.20,73.17,118,35.76
Amba,19.23,75.48,1620,490.91
Ambabarwa,21.23,76.65,2247,680.91
Ambad,19.62,75.80,1643,497.88
Ambajhari,21.05,78.83,1437,435.45
Ambalga,18.15,76.87,1968,596.36
Ambalga,18.15,76.87,1968,596.36
Ambaltek,18.77,76.57,1860,563.64
Ambarnath,19.20,73.17,118,35.76
Ambavli,17.72,73.55,620,187.88
Ambavna,18.62,73.37,2273,688.79
Ambe,18.73,76.38,2116,641.21
Ambegaon,19.12,73.73,2480,751.52
Ambejogai,18.73,76.38,2116,641.21
Ambepur,18.58,72.95,98,29.70
Ambewari,19.83,75.13,1686,510.91
Ambgaon,20.65,79.95,695,210.61
Ambhai,20.47,75.57,2214,670.91
Amboli,18.32,72.99,249,75.45
Amboli,17.72,73.55,620,187.88
Ambājogāi,18.73,76.38,2116,641.21
Ambāra,21.33,77.90,1295,392.42
Amdāpur,19.68,77.92,1056,320.00
Amgaon,20.65,79.95,695,210.61
Amgaon,21.37,80.37,1049,317.88
Amli,21.62,74.03,593,179.70
Amraoti,20.93,77.75,1125,340.91
Amrāvati,20.93,77.75,1125,340.91
Amārāpur,19.28,75.18,1663,503.94
Anaskura,16.78,73.80,1978,599.39
Andheri,19.12,72.83,39,11.82
Andhori,18.77,76.83,1768,535.76
Andhāri,20.27,75.48,2112,640.00
Andori,20.53,78.50,797,241.52
Andura,20.88,76.85,807,244.55
Ane,19.17,74.23,2670,809.09
Angar,17.90,75.57,1541,466.97
Angarle,17.85,73.09,36,10.91
Anjangaon,18.08,75.60,1558,472.12
Anjangaon,21.16,77.31,1227,371.82
Anjanvel,17.55,73.15,367,111.21
Anjarla,17.85,73.09,36,10.91
Anji,20.87,78.53,912,276.36
Anjih,20.87,78.53,912,276.36
Anjāla,21.10,75.75,643,194.85
Ankla,17.05,75.03,2106,638.18
Ankīsha,18.72,80.13,337,102.12
Anshing,20.03,77.32,1774,537.58
Ansing,20.03,77.32,1774,537.58
Antūr,20.43,75.23,2178,660.00
Anva,20.42,75.78,2057,623.33
Arag,16.78,74.80,1961,594.24
Arath,18.09,73.00,160,48.48
Arav,17.73,73.63,2211,670.00
Aravi,18.09,73.00,101,30.61
Ardhapur,19.28,77.38,1213,367.58
Aregaon,21.02,78.72,1174,355.76
Argaon,19.57,76.87,1354,410.30
Argaon,21.12,76.94,1000,303.03
Arjuni,20.82,80.03,800,242.42
Arjuni,21.10,80.15,843,255.45
Arla,17.08,73.92,1820,551.52
Arli,19.83,78.35,935,283.33
Arli,19.83,78.35,935,283.33
Armori,20.47,79.98,656,198.79
Arnala,19.45,72.75,19,5.76
Arnalla,19.45,72.75,19,5.76
Arni,20.07,77.95,1020,309.09
Arnālapāda,19.45,72.75,19,5.76
Arola,17.75,74.05,2112,640.00
Arvi,20.73,74.72,1194,361.82
Arvi,18.37,73.82,2716,823.03
Arvi,20.98,78.23,997,302.12
Arwi,19.13,73.95,2181,660.91
Asangaon,19.45,73.30,232,70.30
Asegaon,20.00,76.97,1650,500.00
Asgan,17.63,73.43,659,199.70
Asgani,17.63,73.43,659,199.70
Ashta,16.95,74.40,1860,563.64
Ashta,17.85,75.40,1597,483.94
Ashtami,18.45,73.13,39,11.82
Ashti,17.85,75.40,1597,483.94
Ashti,19.68,79.80,498,150.91
Ashti,21.20,78.18,1082,327.88
Ashti,18.82,75.18,1988,602.42
Ashwi,19.35,74.35,1948,590.30
Ashwi,19.52,74.37,1732,524.85
Asona,17.67,73.27,728,220.61
Asra,20.87,77.50,990,300.00
Assaye,20.25,75.88,1827,553.64
Assegaon,21.13,77.57,1154,349.70
Assoondee,19.87,80.28,961,291.21
Assundi,19.87,80.28,961,291.21
Astagaon,19.67,74.50,1709,517.88
Astgaon,19.67,74.50,1709,517.88
Asu,18.03,74.65,1732,524.85
Asumumbay,18.98,72.83,91,27.58
